2026-03-30 18:30:25 | INFO     | BlogApp | [Logger] Bootstrapped. Log file: logs\backend-log_20260330_183025.log
2026-03-30 18:30:28 | DEBUG    | BlogApp.Agent | [SETUP] Initialising LLM...
2026-03-30 18:30:29 | DEBUG    | BlogApp.Agent | [SETUP] LLM ready: model='llama3.2:3b'
2026-03-30 18:30:29 | INFO     | BlogApp.FastAPI | [STARTUP] Static site mounted: D:\Study\LangGraph\Workflow_27_BlogWriter\Backend\Blogs → /site
2026-03-30 18:30:29 | INFO     | BlogApp.Checklist | [CHECKLIST] ── Starting sync check ──────────────────────────────
2026-03-30 18:30:29 | DEBUG    | BlogApp.Checklist | [CHECKLIST] Filesystem slugs (11): ['A_Comprehensive_Guide_to_Modern_GPUs_in_2026', 'All_Available_Processors_for_Mobiles', 'All_Available_Processors_of_Laptops', 'Game_Development_in_GPU_Using_Processing', 'Nuclear_Energy-_A_Long-Term_Power_Source', 'Operating_System_Landscape_Around_the_World', 'Performance_of_Snapdragon_Processors_for_Mobile_Phones', 'Renewable_Energy_Resources-_Trends_and_Insights', 'The_Evolution_of_Snapdragon_Processors', 'The_Evolution_of_Snapdragon_Processors_for_Mobile-_Why_They_Reign_Supreme', 'Update_in_Mobile_Processors']
2026-03-30 18:30:29 | DEBUG    | BlogApp.Checklist | [CHECKLIST] Slugs already in index (1): {'Nuclear_Energy-_A_Long-Term_Power_Source'}
2026-03-30 18:30:29 | INFO     | BlogApp.Checklist | [CHECKLIST] ⚠  10 blog(s) missing from index.html: ['A_Comprehensive_Guide_to_Modern_GPUs_in_2026', 'All_Available_Processors_for_Mobiles', 'All_Available_Processors_of_Laptops', 'Game_Development_in_GPU_Using_Processing', 'Operating_System_Landscape_Around_the_World', 'Performance_of_Snapdragon_Processors_for_Mobile_Phones', 'Renewable_Energy_Resources-_Trends_and_Insights', 'The_Evolution_of_Snapdragon_Processors', 'The_Evolution_of_Snapdragon_Processors_for_Mobile-_Why_They_Reign_Supreme', 'Update_in_Mobile_Processors']
2026-03-30 18:30:29 | INFO     | BlogApp.Checklist | [CHECKLIST] ✅ Injected card for slug='A_Comprehensive_Guide_to_Modern_GPUs_in_2026'
2026-03-30 18:30:29 | INFO     | BlogApp.Checklist | [CHECKLIST] ✅ Injected card for slug='All_Available_Processors_for_Mobiles'
2026-03-30 18:30:29 | INFO     | BlogApp.Checklist | [CHECKLIST] ✅ Injected card for slug='All_Available_Processors_of_Laptops'
