2026-03-27 17:09:38 | INFO     | BlogApp | [Logger] Bootstrapped. Log file: logs\backend-log_20260327_170938.log
2026-03-27 17:09:41 | DEBUG    | BlogApp.Agent | [SETUP] Initialising LLM...
2026-03-27 17:09:41 | DEBUG    | BlogApp.Agent | [SETUP] LLM ready: model='llama3.2:3b'
2026-03-27 17:09:41 | INFO     | BlogApp.FastAPI | [STARTUP] Static site mounted: D:\Study\LangGraph\Workflow_26_BlogAgent\Backend\Blogs → /site
2026-03-27 17:09:41 | INFO     | BlogApp.FastAPI | [STARTUP] PostgreSQL tables ready.
2026-03-27 17:09:41 | INFO     | BlogApp.FastAPI | [STARTUP] LangGraph workflow compiled. Checkpointer DB: 'blog_hitl.db'
2026-03-27 17:10:56 | INFO     | BlogApp.FastAPI | [API] /blogs/generate — topic='Update in Mobile Processors' thread_id='b2b7df1c-13c3-44ca-ad63-cd38811512bd'
2026-03-27 17:10:56 | INFO     | BlogApp.FastAPI | [BG] Starting workflow thread='b2b7df1c-13c3-44ca-ad63-cd38811512bd' topic='Update in Mobile Processors'
2026-03-27 17:10:56 | INFO     | BlogApp.Agent | [ROUTER] ── Entering router node ──────────────────────────
2026-03-27 17:11:13 | INFO     | BlogApp.Agent | [ROUTER]   mode='hybrid' | needs_research=True
2026-03-27 17:11:13 | INFO     | BlogApp.Agent | [ROUTER] ── Router node complete ────────────────────────────
2026-03-27 17:11:13 | INFO     | BlogApp.Agent | [ROUTER] Routing → 'research'
2026-03-27 17:11:13 | INFO     | BlogApp.Agent | [RESEARCH] ── Entering research node (9 queries) ──
2026-03-27 17:11:13 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='What's the latest update on mobile processor architecture?'
2026-03-27 17:11:13 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='How do recent advancements in CPU design impact mobile devices?'
2026-03-27 17:11:13 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='What are the key features of the new Qualcomm Snapdragon 8 series processors?'
2026-03-27 17:11:13 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='How do newer mobile processors improve power efficiency and performance?'
2026-03-27 17:11:13 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='What role will AI-enhanced processing play in future mobile chipsets?'
2026-03-27 17:11:13 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='Is there a shift towards more powerful and efficient mobile processors?'
2026-03-27 17:11:13 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='What's the current state of 5G-enabled mobile processor development?'
2026-03-27 17:11:13 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='Can we expect significant updates to mobile GPU capabilities?'
2026-03-27 17:11:13 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='How do advancements in mobile processor cooling technology impact device performance?'
2026-03-27 17:11:16 | INFO     | BlogApp.Agent | [RESEARCH] Total raw results: 54 (2.66s)
2026-03-27 17:14:15 | INFO     | BlogApp.Agent | [RESEARCH] Evidence after deduplication: 0 items
2026-03-27 17:14:15 | INFO     | BlogApp.Agent | [RESEARCH] ── Research node complete ───────────────────────────
2026-03-27 17:14:15 | INFO     | BlogApp.Agent | [ORCH] ── Entering orchestrator node ──────────────────────
2026-03-27 17:14:15 | INFO     | BlogApp.Agent | [ORCH] Planning attempt 1/3...
2026-03-27 17:16:20 | INFO     | BlogApp.Agent | [ORCH] Plan accepted — 8 tasks | 'Update in Mobile Processors'
2026-03-27 17:16:20 | INFO     | BlogApp.Agent | [ORCH] ── Orchestrator node complete ─────────────────────────
2026-03-27 17:16:21 | INFO     | BlogApp.Agent | [DISPATCHER] Dispatching workers...
2026-03-27 17:16:21 | INFO     | BlogApp.Agent | [WORKER] ── Task 1: 'Understanding the Need for Update in Mobile Processors'
2026-03-27 17:16:21 | INFO     | BlogApp.Agent | [WORKER] ── Task 2: 'New Technologies and Architectures'
2026-03-27 17:16:21 | INFO     | BlogApp.Agent | [WORKER] ── Task 3: 'Comparison of Old and New Processors'
2026-03-27 17:16:21 | INFO     | BlogApp.Agent | [WORKER] ── Task 4: 'Edge Cases and Failure Modes'
2026-03-27 17:16:21 | INFO     | BlogApp.Agent | [WORKER] ── Task 5: 'Debugging and Observability Tips'
2026-03-27 17:16:21 | INFO     | BlogApp.Agent | [WORKER] ── Task 6: 'Performance and Cost Considerations'
2026-03-27 17:16:21 | INFO     | BlogApp.Agent | [WORKER] ── Task 7: 'Security and Privacy Considerations'
2026-03-27 17:16:21 | INFO     | BlogApp.Agent | [WORKER] ── Task 8: 'Future Directions and Outlook'
2026-03-27 17:16:54 | INFO     | BlogApp.Agent | [WORKER] Task 1 done — ~324w (dev=29.6%, 33.26s)
2026-03-27 17:16:54 | WARNING  | BlogApp.Agent | [WORKER] Task 1 word count deviation > 20%: got 324, target 250
2026-03-27 17:17:19 | INFO     | BlogApp.Agent | [WORKER] Task 3 done — ~256w (dev=14.7%, 58.62s)
