2026-03-30 12:30:49 | INFO     | BlogApp | [Logger] Bootstrapped. Log file: logs\backend-log_20260330_123049.log
2026-03-30 12:30:52 | DEBUG    | BlogApp.Agent | [SETUP] Initialising LLM...
2026-03-30 12:30:53 | DEBUG    | BlogApp.Agent | [SETUP] LLM ready: model='llama3.2:3b'
2026-03-30 12:30:53 | INFO     | BlogApp.FastAPI | [STARTUP] Static site mounted: D:\Study\LangGraph\Workflow_26_BlogAgent\Backend\Blogs → /site
2026-03-30 12:30:53 | INFO     | BlogApp.FastAPI | [STARTUP] PostgreSQL tables ready.
2026-03-30 12:30:53 | INFO     | BlogApp.FastAPI | [STARTUP] LangGraph workflow compiled. Checkpointer DB: 'blog_hitl.db'
2026-03-30 12:31:17 | INFO     | BlogApp.FastAPI | [API] /blogs/generate — topic='Currently All Available Processors of Laptops' thread_id='b7b27ca9-e348-4a8c-a3b7-caa2c95805a0'
2026-03-30 12:31:17 | INFO     | BlogApp.FastAPI | [BG] Starting workflow thread='b7b27ca9-e348-4a8c-a3b7-caa2c95805a0' topic='Currently All Available Processors of Laptops'
2026-03-30 12:31:17 | INFO     | BlogApp.Agent | [ROUTER] ── Entering router node ──────────────────────────
2026-03-30 12:31:17 | INFO     | BlogApp.Agent | [ROUTER] Current date (IST): 2026-03-30 | Time: 12:31:17 | Year: 2026
2026-03-30 12:31:34 | INFO     | BlogApp.Agent | [ROUTER]   mode='closed_book' | needs_research=True | queries=5
2026-03-30 12:31:34 | INFO     | BlogApp.Agent | [ROUTER] ── Router node complete ────────────────────────────
2026-03-30 12:31:34 | INFO     | BlogApp.Agent | [ROUTER] Routing → 'research'
2026-03-30 12:31:34 | INFO     | BlogApp.Agent | [RESEARCH] ── Entering research node (5 queries) ──
2026-03-30 12:31:34 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='Laptop processors 2026'
2026-03-30 12:31:34 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='Available laptop processor options 2026'
2026-03-30 12:31:34 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='Latest laptop processor models'
2026-03-30 12:31:34 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='Processors for laptops in 2026'
2026-03-30 12:31:34 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='Current laptop processor offerings'
2026-03-30 12:31:37 | INFO     | BlogApp.Agent | [RESEARCH] Total raw results: 30 (3.11s)
2026-03-30 12:35:26 | INFO     | BlogApp.Agent | [RESEARCH] Evidence after deduplication: 2 items
2026-03-30 12:35:26 | INFO     | BlogApp.Agent | [RESEARCH] ── Research node complete ───────────────────────────
2026-03-30 12:35:26 | INFO     | BlogApp.Agent | [ORCH] ── Entering orchestrator node ──────────────────────
2026-03-30 12:35:29 | INFO     | BlogApp.Agent | [ORCH] Planning attempt 1/3...
